DATA,CONTAS PF,CDB/LCI/LCA,TESOURO DIRETO,AÇÕES,DINHEIRO,CASHBACK,EXTERIOR,FIIS,TOTAL,renda_fixa,renda_variavel
2023-01-15,5265,540024,42361,11496,18600,645,0.0,61067,679458,583030,72563.0
2023-02-15,6347,545207,42837,21297,12600,652,0.0,56549,685489,588696,77846.0
2023-03-15,15822,530672,20977,44624,10300,731,0.0,60335,683461,552380,104959.0
2023-04-15,6078,563604,21290,46404,8000,742,0.0,61799,707917,585636,108203.0
2023-05-15,121611,471976,21389,53132,8000,824,0.0,63619,740551,494189,116751.0
2023-06-15,10486,581856,21645,60172,0,908,0.0,68368,743435,604409,128540.0
2023-07-15,14767,589887,21883,63059,0,970,0.0,67205,757771,612740,130264.0
2023-08-15,11907,599083,22120,68239,0,1041,0.0,67685,770075,622244,135924.0
2023-09-15,7310,605496,22367,68371,,1133,4815.0,70508,780000,628996,143694.0
2023-10-15,15480,610556,22571,60659,,1206,4906.0,68557,783935,634333,134122.0
2023-11-15,11784,616281,22794,68280,,1285,6841.0,68904,796169,640360,144025.0
2023-12-15,9068,624930,23021,74166,,1288,7543.0,69070,809086,649239,150779.0
2024-01-15,9958,629895,23205,75419,,1358,8194.0,71916,819945,654458,155529.0
2024-02-15,6504,635323,23426,75203.64,,1370,10951.06,72482,825259.7,660119,158636.7
2024-03-15,10137,640495,23624,78199,,1453,13900.0,73620,841428,665572,165719.0
2024-04-15,9415,645538,23817,75145,,1531,14977.0,74775,845198,670886,164897.0
